FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.582,1902,4.5 m,POINT (12.571705736438323 55.72086273464615)
trae_basis.583,1902,4.5 m,POINT (12.571639723880054 55.720967312755945)
trae_basis.585,1912,4.5 m,POINT (12.566911571864345 55.71541102040994)
trae_basis.586,2018,2.8 m,POINT (12.568032282594206 55.67668598794784)
trae_basis.587,2018,2.8 m,POINT (12.567631672482378 55.67653378718016)
trae_basis.588,2018,2.8 m,POINT (12.567781330417455 55.67649828849645)
trae_basis.589,2018,2.8 m,POINT (12.567937147991865 55.676553834618595)
trae_basis.596,1912,4.5 m,POINT (12.567310274715256 55.71559278133557)
trae_basis.597,1980,4.5 m,POINT (12.569460197318847 55.714747437629526)
trae_basis.590,1912,4.5 m,POINT (12.56703943038757 55.71545242322877)
trae_basis.591,1912,4.5 m,POINT (12.567189281690968 55.715551947129825)
trae_basis.592,1902,4.5 m,POINT (12.571895632486221 55.720539593779286)
trae_basis.593,1902,4.5 m,POINT (12.571932883095423 55.72048663545482)
trae_basis.594,1902,4.5 m,POINT (12.571964061043643 55.720432707672835)
trae_basis.595,1912,4.5 m,POINT (12.567299576357492 55.7155335766468)
trae_basis.598,1995,4.5 m,POINT (12.569563507131512 55.71468768985978)
trae_basis.599,2018,2.8 m,POINT (12.56823185421248 55.67656994775225)
trae_basis.600,2018,2.8 m,POINT (12.567633704417243 55.676494183636194)
trae_basis.601,2018,2.8 m,POINT (12.567720013389312 55.67656804469235)
trae_basis.602,1902,4.5 m,POINT (12.572402206749377 55.71970047691087)
trae_basis.603,1902,4.5 m,POINT (12.572470772197173 55.71958674056643)
trae_basis.604,1902,4.5 m,POINT (12.572544797905211 55.719472438956764)
trae_basis.605,1902,4.5 m,POINT (12.572506831424272 55.71953074811363)
trae_basis.1183,,Ikke registreret,POINT (12.565570276040756 55.70564481167725)
trae_basis.606,1902,4.5 m,POINT (12.572440206731581 55.719644171102544)
trae_basis.607,1902,4.5 m,POINT (12.57186517637246 55.72059333786048)
trae_basis.608,1902,4.5 m,POINT (12.571736181312716 55.720807651879156)
trae_basis.609,1902,4.5 m,POINT (12.571768065961285 55.720755239130995)
trae_basis.610,1902,4.5 m,POINT (12.572195471623964 55.720044768572116)
trae_basis.611,1902,4.5 m,POINT (12.572232773603076 55.719986516378306)
trae_basis.612,1902,4.5 m,POINT (12.572262718471984 55.71993134357182)
trae_basis.613,1902,4.5 m,POINT (12.57213112179206 55.72015847406269)
trae_basis.614,2018,2.8 m,POINT (12.567838061720593 55.67656616192456)
trae_basis.615,1902,4.5 m,POINT (12.572097728089458 55.72021404116465)
trae_basis.616,1902,4.5 m,POINT (12.572059874117974 55.72027295919653)
trae_basis.617,1902,4.5 m,POINT (12.57233337698632 55.71981687784899)
trae_basis.618,1902,4.5 m,POINT (12.57230064839135 55.71987406856766)
trae_basis.619,1990,4.5 m,POINT (12.565469374837344 55.72768351504855)
trae_basis.620,1985,4.5 m,POINT (12.565611488613461 55.7276688993936)
trae_basis.621,1985,4.5 m,POINT (12.565849645022297 55.72764242607138)
trae_basis.622,1985,4.5 m,POINT (12.565977618781279 55.7276273327371)
trae_basis.623,1985,4.5 m,POINT (12.56610162955472 55.72761369399266)
trae_basis.624,1985,4.5 m,POINT (12.566351698596208 55.727586586188906)
trae_basis.625,1989,4.5 m,POINT (12.56712480362918 55.72750114084682)
trae_basis.626,1902,4.5 m,POINT (12.568238644112279 55.72996572631395)
trae_basis.627,1902,4.5 m,POINT (12.57017985914399 55.723556171008184)
trae_basis.628,1902,4.5 m,POINT (12.57024199055328 55.72344783528991)
trae_basis.629,1902,4.5 m,POINT (12.570268947269396 55.7233974702822)
trae_basis.630,2000,4.5 m,POINT (12.558007099822598 55.661837734598414)
trae_basis.631,2000,4.5 m,POINT (12.558136620154077 55.661966028955675)
trae_basis.676,2012,Ikke registreret,POINT (12.563764379630141 55.70163071005693)
trae_basis.632,2000,4.5 m,POINT (12.55826335549443 55.662023364091915)
trae_basis.633,1979,4.5 m,POINT (12.55251821197468 55.67156218504883)
trae_basis.634,1979,4.5 m,POINT (12.552618117082503 55.671565349886464)
trae_basis.635,1979,4.5 m,POINT (12.552456183758917 55.67225323584996)
trae_basis.636,1979,4.5 m,POINT (12.552435630793124 55.672525099880815)
trae_basis.637,1902,4.5 m,POINT (12.570298955537476 55.72334163195295)
trae_basis.638,1902,4.5 m,POINT (12.57021000500459 55.72350277446927)
trae_basis.639,1980,2.8 m,POINT (12.52174455351144 55.70456571645419)
trae_basis.1191,,Ikke registreret,POINT (12.500163620274906 55.64196331702782)
trae_basis.640,1947,2.8 m,POINT (12.521954853180874 55.70453654789629)
trae_basis.641,1947,2.8 m,POINT (12.522041556244009 55.70452389429821)
trae_basis.642,1948,4.5 m,POINT (12.54113566191178 55.670328804555986)
trae_basis.643,1948,4.5 m,POINT (12.541251684827026 55.67017530805356)
trae_basis.644,1948,4.5 m,POINT (12.541392906036519 55.67020997482926)
trae_basis.645,1902,4.5 m,POINT (12.569414721120285 55.7249179671643)
trae_basis.646,1902,4.5 m,POINT (12.569444983698181 55.724863777985476)
trae_basis.647,1902,4.5 m,POINT (12.569475262604083 55.724809597491145)
trae_basis.648,1902,4.5 m,POINT (12.569605520497477 55.72457425416326)
trae_basis.649,1902,4.5 m,POINT (12.569674912232555 55.724456515069086)
trae_basis.650,1902,4.5 m,POINT (12.569739643046278 55.724338859414104)
trae_basis.651,1902,4.5 m,POINT (12.569705503905409 55.724396865335)
trae_basis.652,1902,4.5 m,POINT (12.569641008723758 55.72451361813441)
trae_basis.653,1902,4.5 m,POINT (12.56954027760072 55.72469329378112)
trae_basis.654,1902,4.5 m,POINT (12.569508469262082 55.72475198576648)
trae_basis.655,1902,4.5 m,POINT (12.56957371235172 55.72463294616594)
trae_basis.656,1902,4.5 m,POINT (12.56995972590147 55.723944622369)
trae_basis.657,1902,4.5 m,POINT (12.569993392135032 55.72388897920079)
trae_basis.658,1902,4.5 m,POINT (12.570025856740637 55.723833770910254)
trae_basis.659,1902,4.5 m,POINT (12.569899113598483 55.72405366756358)
trae_basis.660,1902,4.5 m,POINT (12.569868305635955 55.72410974475087)
trae_basis.661,1902,4.5 m,POINT (12.569772271015303 55.72427974829769)
trae_basis.662,1902,4.5 m,POINT (12.569927717842925 55.72399974158476)
trae_basis.663,1902,4.5 m,POINT (12.570086840764045 55.723722005167474)
trae_basis.664,1902,4.5 m,POINT (12.57005449120536 55.72377897269882)
trae_basis.665,2013,Ikke registreret,POINT (12.563198381285869 55.70117136604218)
trae_basis.666,,Ikke registreret,POINT (12.564110715184965 55.70116836624497)
trae_basis.667,1902,4.5 m,POINT (12.570118433303486 55.72366856476634)
trae_basis.668,1902,4.5 m,POINT (12.569323608159241 55.725082122029335)
trae_basis.669,1902,4.5 m,POINT (12.569266910595854 55.72519373865613)
trae_basis.670,2012,Ikke registreret,POINT (12.564122109606377 55.70114041207276)
trae_basis.671,,Ikke registreret,POINT (12.564285530839166 55.70116310984779)
trae_basis.672,2022,Ikke registreret,POINT (12.563492749223006 55.70154444442201)
trae_basis.673,2012,Ikke registreret,POINT (12.563658475893362 55.701743380032944)
trae_basis.674,2012,Ikke registreret,POINT (12.563640373674625 55.70167817937727)
trae_basis.675,2012,Ikke registreret,POINT (12.563716588806498 55.70170618965987)
trae_basis.677,2022,Ikke registreret,POINT (12.563370920686193 55.701947380906915)
trae_basis.678,2022,Ikke registreret,POINT (12.563441472972 55.70189670900277)
trae_basis.679,2022,Ikke registreret,POINT (12.5633952901253 55.70185483089566)
trae_basis.680,2022,Ikke registreret,POINT (12.563405686630656 55.701788927397885)
trae_basis.681,2022,Ikke registreret,POINT (12.563305575823023 55.701875188166674)
trae_basis.682,2012,Ikke registreret,POINT (12.563155606362303 55.70160802511785)
trae_basis.683,,Ikke registreret,POINT (12.563236094920985 55.70225267848811)
trae_basis.684,1902,4.5 m,POINT (12.569242416001982 55.72524942402103)
trae_basis.685,1902,4.5 m,POINT (12.569295031814868 55.72513742221267)
trae_basis.686,1902,4.5 m,POINT (12.569384076188658 55.72497272032171)
trae_basis.687,1902,4.5 m,POINT (12.569355461645198 55.725027338260716)
trae_basis.688,1902,4.5 m,POINT (12.571143443719798 55.721832912179714)
trae_basis.689,1902,4.5 m,POINT (12.571078477064432 55.721950474122785)
trae_basis.690,1902,4.5 m,POINT (12.5710451695216 55.72200790845128)
trae_basis.691,1902,4.5 m,POINT (12.571109685534056 55.72189308639367)
trae_basis.692,1902,4.5 m,POINT (12.571015055004999 55.72206323669946)
trae_basis.693,1902,4.5 m,POINT (12.570981265906429 55.72212484920644)
trae_basis.694,1902,4.5 m,POINT (12.570948625044315 55.722179989074704)
trae_basis.695,1902,4.5 m,POINT (12.570917863523203 55.72223966919461)
trae_basis.696,1902,4.5 m,POINT (12.570883046555364 55.72229943097354)
trae_basis.697,1902,4.5 m,POINT (12.571175600274783 55.72177653185603)
trae_basis.698,2000,4.5 m,POINT (12.569358963589838 55.666888242966905)
trae_basis.699,2000,4.5 m,POINT (12.569513755520317 55.66695793208714)
trae_basis.700,1902,4.5 m,POINT (12.571213478257105 55.721709220665915)
trae_basis.701,1902,4.5 m,POINT (12.570547968939614 55.72289694829654)
trae_basis.702,1902,4.5 m,POINT (12.570670178247884 55.72267668276634)
trae_basis.703,1902,4.5 m,POINT (12.57073721047545 55.72255900319614)
trae_basis.704,1902,4.5 m,POINT (12.570700927110558 55.72261761400732)
trae_basis.705,1902,4.5 m,POINT (12.570818098542272 55.722416219605584)
trae_basis.706,1902,4.5 m,POINT (12.5708490050517 55.722358828383285)
trae_basis.707,1902,4.5 m,POINT (12.570638905359763 55.722730117612244)
trae_basis.708,1902,4.5 m,POINT (12.570607772779148 55.72278548195375)
trae_basis.709,1902,4.5 m,POINT (12.570453655735944 55.723067164274575)
trae_basis.710,1902,4.5 m,POINT (12.570421068144057 55.7231224288235)
trae_basis.711,1902,4.5 m,POINT (12.570391572219277 55.72317661354649)
trae_basis.712,1902,4.5 m,POINT (12.57035992112524 55.72323324516053)
trae_basis.713,1902,4.5 m,POINT (12.570328516846935 55.72328634079101)
trae_basis.714,1902,4.5 m,POINT (12.570484946526589 55.72300866098469)
trae_basis.715,1902,4.5 m,POINT (12.571545287622161 55.72112753937746)
trae_basis.716,1902,4.5 m,POINT (12.57151340690497 55.72117946673379)
trae_basis.717,1902,4.5 m,POINT (12.571449374471499 55.72128784630418)
trae_basis.718,1902,4.5 m,POINT (12.571482185593318 55.72123349400203)
trae_basis.719,1902,4.5 m,POINT (12.57157808206842 55.72107317835716)
trae_basis.720,2011,Ikke registreret,POINT (12.564424373173772 55.704846346634376)
trae_basis.721,,Ikke registreret,POINT (12.564911894530468 55.70441674881806)
trae_basis.723,2012,Ikke registreret,POINT (12.565501449517491 55.70480221240091)
trae_basis.724,2011,Ikke registreret,POINT (12.564546090854106 55.70522720499584)
trae_basis.725,,Ikke registreret,POINT (12.575995161740964 55.68961324372528)
trae_basis.726,,Ikke registreret,POINT (12.57618321666661 55.68968197485688)
trae_basis.727,,Ikke registreret,POINT (12.576308704469742 55.68972582310433)
trae_basis.728,,Ikke registreret,POINT (12.576598038828717 55.68967817260995)
trae_basis.729,,Ikke registreret,POINT (12.576558165510383 55.68968008956417)
trae_basis.730,1902,4.5 m,POINT (12.568629201475623 55.72755763477802)
trae_basis.731,1902,4.5 m,POINT (12.568625201032784 55.72761790443607)
trae_basis.732,2005,4.5 m,POINT (12.536532059547023 55.71199346098307)
trae_basis.733,2005,4.5 m,POINT (12.536232918139804 55.71233133039612)
trae_basis.734,2005,4.5 m,POINT (12.536337522015812 55.71221339419059)
trae_basis.735,2005,4.5 m,POINT (12.536835933900209 55.71165549823148)
trae_basis.736,1902,4.5 m,POINT (12.568618982763402 55.727674412665834)
trae_basis.737,1902,4.5 m,POINT (12.568617713062492 55.72773538827191)
trae_basis.738,1902,4.5 m,POINT (12.568613928299415 55.727787314943974)
trae_basis.739,1902,4.5 m,POINT (12.568609956011604 55.727843270755606)
trae_basis.740,1902,4.5 m,POINT (12.568596915647216 55.72795546230688)
trae_basis.741,1902,4.5 m,POINT (12.568592653013152 55.72800965304723)
trae_basis.742,1902,4.5 m,POINT (12.568587614642041 55.728064774258144)
trae_basis.743,1902,4.5 m,POINT (12.568581237281464 55.728124969638706)
trae_basis.744,1902,4.5 m,POINT (12.56857864867297 55.72818004699423)
trae_basis.745,1902,4.5 m,POINT (12.568604604314219 55.72789876600926)
trae_basis.746,1902,4.5 m,POINT (12.56856874923342 55.728293161795285)
trae_basis.747,1902,4.5 m,POINT (12.56856336507962 55.72834921476232)
trae_basis.748,1902,4.5 m,POINT (12.568550035313065 55.72851688280933)
trae_basis.749,1902,4.5 m,POINT (12.568544556907698 55.72857324298814)
trae_basis.750,1902,4.5 m,POINT (12.568539779352129 55.72863187309536)
trae_basis.751,1902,4.5 m,POINT (12.568536017221223 55.72868788803578)
trae_basis.752,1902,4.5 m,POINT (12.56852841530422 55.72874754818603)
trae_basis.753,1902,4.5 m,POINT (12.56852457766836 55.72880307023958)
trae_basis.754,1983,4.5 m,POINT (12.56925154215313 55.72870087680252)
trae_basis.755,1900,4.5 m,POINT (12.56927932422968 55.72855324950347)
trae_basis.756,1902,4.5 m,POINT (12.568375585009525 55.729434954354474)
trae_basis.757,1902,4.5 m,POINT (12.568438066526463 55.729202569176714)
trae_basis.758,2005,4.5 m,POINT (12.537118165910435 55.71586751920291)
trae_basis.759,2005,4.5 m,POINT (12.537196153346493 55.71593222602368)
trae_basis.760,2005,4.5 m,POINT (12.537363431813297 55.716067110189236)
trae_basis.761,2005,4.5 m,POINT (12.537989213752573 55.716257089263294)
trae_basis.762,2005,4.5 m,POINT (12.53807632205177 55.71631437214253)
trae_basis.763,1902,4.5 m,POINT (12.56842106453692 55.72925931532946)
trae_basis.764,1902,4.5 m,POINT (12.568406430007968 55.72931681886748)
trae_basis.765,1902,4.5 m,POINT (12.568977331549506 55.72950237047907)
trae_basis.766,1902,4.5 m,POINT (12.569323949320676 55.72953085961648)
trae_basis.970,,Ikke registreret,POINT (12.489654202263633 55.648450072797985)
trae_basis.767,1902,4.5 m,POINT (12.569806699284797 55.72938882417534)
trae_basis.768,1902,4.5 m,POINT (12.569729071068334 55.72947550183706)
trae_basis.769,1902,4.5 m,POINT (12.57013381314429 55.729419924851896)
trae_basis.770,1902,4.5 m,POINT (12.570213450595785 55.72933472958073)
trae_basis.771,1902,4.5 m,POINT (12.57054141526077 55.72936397177239)
trae_basis.772,1900,4.5 m,POINT (12.570923596984372 55.728446604143045)
trae_basis.773,1900,4.5 m,POINT (12.571262074985883 55.72840077447494)
trae_basis.774,1900,4.5 m,POINT (12.571638488902478 55.72823285218366)
trae_basis.807,1902,4.5 m,POINT (12.574039173166309 55.71800654688845)
trae_basis.775,1900,4.5 m,POINT (12.571600641853905 55.72835568811796)
trae_basis.776,1900,4.5 m,POINT (12.572325623893267 55.728135991089495)
trae_basis.777,1900,4.5 m,POINT (12.57266543551539 55.72809355729128)
trae_basis.778,1900,4.5 m,POINT (12.57300063044028 55.72804832978806)
trae_basis.779,1900,4.5 m,POINT (12.57261496109459 55.72821662005452)
trae_basis.780,1900,4.5 m,POINT (12.572952303468051 55.72817218091303)
trae_basis.781,2005,4.5 m,POINT (12.539156916238586 55.717371638015116)
trae_basis.782,1902,4.5 m,POINT (12.570936629603253 55.72931145634499)
trae_basis.808,1902,4.5 m,POINT (12.574101567931718 55.71796228438393)
trae_basis.783,1902,4.5 m,POINT (12.570998985585899 55.72922792712082)
trae_basis.784,1902,4.5 m,POINT (12.571316281406347 55.7292588770852)
trae_basis.785,1983,4.5 m,POINT (12.571380981520875 55.729174290206345)
trae_basis.786,1983,4.5 m,POINT (12.571699521616777 55.7292064120327)
trae_basis.787,1983,4.5 m,POINT (12.571768575372836 55.729122519698365)
trae_basis.788,1983,4.5 m,POINT (12.572154663377558 55.729068627265264)
trae_basis.789,1983,4.5 m,POINT (12.57208783369255 55.72915354031875)
trae_basis.790,1983,4.5 m,POINT (12.572345730509369 55.72904475784227)
trae_basis.809,1902,4.5 m,POINT (12.574168128434119 55.717914541314904)
trae_basis.791,1983,4.5 m,POINT (12.572474892554544 55.729101336836166)
trae_basis.792,1983,4.5 m,POINT (12.57273530561905 55.728991169462525)
trae_basis.793,1983,4.5 m,POINT (12.572863702322259 55.72904970278524)
trae_basis.794,1960,2.8 m,POINT (12.574376794947666 55.714358665728184)
trae_basis.795,1960,2.8 m,POINT (12.574494136055568 55.71437039765523)
trae_basis.796,1900,4.5 m,POINT (12.574542388622024 55.714510326468655)
trae_basis.797,1960,2.8 m,POINT (12.574666455972158 55.714387450567735)
trae_basis.798,2022,4.5 m,POINT (12.58717866930558 55.69291363621907)
trae_basis.904,,Ikke registreret,POINT (12.487577319947828 55.65109478845048)
trae_basis.799,2003,2.8 m,POINT (12.557180971948757 55.668892563564654)
trae_basis.800,1960,2.8 m,POINT (12.574297416041956 55.71462661138691)
trae_basis.801,1960,2.8 m,POINT (12.5744203952782 55.714637253696964)
trae_basis.802,1902,4.5 m,POINT (12.573537855886794 55.71839362767971)
trae_basis.803,1902,4.5 m,POINT (12.573598373377342 55.718342866206115)
trae_basis.804,1902,4.5 m,POINT (12.573657936817291 55.718292975506195)
trae_basis.805,1902,4.5 m,POINT (12.573909264179111 55.71810226274352)
trae_basis.806,1902,4.5 m,POINT (12.573975490952092 55.718054804347595)
trae_basis.905,,Ikke registreret,POINT (12.48767724800809 55.65119487934896)
trae_basis.810,1902,4.5 m,POINT (12.574237901338895 55.71786730666831)
trae_basis.811,1902,4.5 m,POINT (12.574302014149024 55.717826985094426)
trae_basis.812,1902,4.5 m,POINT (12.572837302628695 55.719083726064476)
trae_basis.813,1902,4.5 m,POINT (12.572891411313297 55.71902626844205)
trae_basis.814,1902,4.5 m,POINT (12.572940129331041 55.718971468555544)
trae_basis.815,1902,4.5 m,POINT (12.572989864559434 55.718916641411624)
trae_basis.816,1902,4.5 m,POINT (12.57304217643683 55.71886318782893)
trae_basis.817,1902,4.5 m,POINT (12.572706622654175 55.71924644610567)
trae_basis.818,1902,4.5 m,POINT (12.57274872450311 55.719190057618555)
trae_basis.819,1902,4.5 m,POINT (12.572795899689654 55.71913471035916)
trae_basis.820,2021,4.5 m,POINT (12.571269676206535 55.69138126238039)
trae_basis.821,1920,4.5 m,POINT (12.595830715406978 55.6688937025744)
trae_basis.822,1920,4.5 m,POINT (12.596400329394221 55.66894523559067)
trae_basis.823,1995,4.5 m,POINT (12.596678253659032 55.66890457800344)
trae_basis.824,1940,4.5 m,POINT (12.581204738617137 55.67883933711823)
trae_basis.825,1985,4.5 m,POINT (12.581428032904357 55.678341402042435)
trae_basis.826,,Ikke registreret,POINT (12.481939378479812 55.65435043267723)
trae_basis.827,1965,4.5 m,POINT (12.58141121524793 55.67838887392884)
trae_basis.828,1985,4.5 m,POINT (12.581519848865879 55.678355850352425)
trae_basis.829,1975,4.5 m,POINT (12.58149988533105 55.67840055728144)
trae_basis.830,1980,4.5 m,POINT (12.581275417465063 55.67889854060289)
trae_basis.831,1980,4.5 m,POINT (12.581299739124008 55.67885786188046)
trae_basis.832,1980,4.5 m,POINT (12.58148633551117 55.67887913881226)
trae_basis.833,1975,4.5 m,POINT (12.581785199036403 55.67844117190278)
trae_basis.834,1980,4.5 m,POINT (12.5815765613195 55.67889215999093)
trae_basis.835,1980,4.5 m,POINT (12.581651908338204 55.67890108200985)
trae_basis.933,,Ikke registreret,POINT (12.48839771092848 55.64981785426551)
trae_basis.836,1980,4.5 m,POINT (12.58162856733139 55.67894936147302)
trae_basis.837,1980,4.5 m,POINT (12.581708425147252 55.679009425669626)
trae_basis.838,1980,4.5 m,POINT (12.581750541881302 55.67891787475706)
trae_basis.839,1980,4.5 m,POINT (12.581796036131426 55.67902147838531)
trae_basis.840,1965,4.5 m,POINT (12.581820156328396 55.67897377594911)
trae_basis.841,1955,4.5 m,POINT (12.582037228673215 55.678478671459295)
trae_basis.842,1950,4.5 m,POINT (12.582100955488476 55.678534210843814)
trae_basis.843,1965,4.5 m,POINT (12.581908273416106 55.67899126301277)
trae_basis.8621,,Ikke registreret,POINT (12.477689675622056 55.65939884973304)
trae_basis.844,1955,4.5 m,POINT (12.582029530597168 55.6789082156579)
trae_basis.845,1979,4.5 m,POINT (12.588667037322722 55.678271074263996)
trae_basis.846,1979,4.5 m,POINT (12.588962794356725 55.6778294423921)
trae_basis.847,1979,4.5 m,POINT (12.589294042051666 55.67731653563614)
trae_basis.848,1979,4.5 m,POINT (12.589409601981483 55.6771395544688)
trae_basis.849,1959,4.5 m,POINT (12.585494750904243 55.683207591261)
trae_basis.850,1959,4.5 m,POINT (12.586321371775462 55.68286356615673)
trae_basis.851,1959,4.5 m,POINT (12.585816280912761 55.68299981935307)
trae_basis.942,,Ikke registreret,POINT (12.488575630822062 55.64984465131483)
trae_basis.852,1959,4.5 m,POINT (12.585800824239293 55.68312666972632)
trae_basis.853,1959,4.5 m,POINT (12.585902770888538 55.683099262777226)
trae_basis.854,1959,4.5 m,POINT (12.586209159439615 55.6830180379586)
trae_basis.855,1959,4.5 m,POINT (12.58610665252137 55.68304537441206)
trae_basis.856,1959,4.5 m,POINT (12.58630353436687 55.68299315777111)
trae_basis.857,1959,4.5 m,POINT (12.586404417488009 55.68296636269694)
trae_basis.858,1906,4.5 m,POINT (12.590377861746425 55.68981735012097)
trae_basis.859,1920,4.5 m,POINT (12.594169023834954 55.67069522248508)
trae_basis.860,,Ikke registreret,POINT (12.482316807628205 55.65425638418193)
trae_basis.861,1979,4.5 m,POINT (12.5904293152787 55.678435497291424)
trae_basis.862,1920,4.5 m,POINT (12.594562845479235 55.67042268893979)
trae_basis.863,1977,4.5 m,POINT (12.595209444274921 55.66968932557387)
trae_basis.864,1920,4.5 m,POINT (12.594654120027204 55.67086211080891)
trae_basis.865,1920,4.5 m,POINT (12.59578516966471 55.669590472887016)
trae_basis.866,1906,4.5 m,POINT (12.590549078394695 55.68967806638071)
trae_basis.867,1906,4.5 m,POINT (12.590632277794878 55.68960792681022)
trae_basis.868,1906,4.5 m,POINT (12.591582371775411 55.68883822585317)
trae_basis.869,2023,4.5 m,POINT (12.537746682817628 55.64787360847077)
trae_basis.870,1906,4.5 m,POINT (12.591322636097171 55.68904801203665)
trae_basis.871,1906,4.5 m,POINT (12.591408732948542 55.68897923981404)
trae_basis.872,1906,4.5 m,POINT (12.591496012894048 55.68890866634334)
trae_basis.873,1906,4.5 m,POINT (12.591061111405955 55.689261292321426)
trae_basis.874,1906,4.5 m,POINT (12.592017011473763 55.68848264077925)
trae_basis.875,1906,4.5 m,POINT (12.59219276945523 55.688337314774586)
trae_basis.876,1906,4.5 m,POINT (12.592275839122612 55.68826909311909)
trae_basis.877,,Ikke registreret,POINT (12.57217813326568 55.654550387337196)
trae_basis.878,2023,4.5 m,POINT (12.537784091167136 55.64786129470003)
trae_basis.879,2023,4.5 m,POINT (12.538032833368502 55.64777255378561)
trae_basis.880,2023,4.5 m,POINT (12.538066692259804 55.64776083051281)
trae_basis.881,2023,4.5 m,POINT (12.537047230317809 55.64810991135734)
trae_basis.882,2023,4.5 m,POINT (12.53729814634825 55.64802791954369)
trae_basis.883,2023,4.5 m,POINT (12.538433502525063 55.647633555132515)
trae_basis.884,2023,4.5 m,POINT (12.538467380215824 55.64762165980486)
trae_basis.885,2023,4.5 m,POINT (12.53871855387251 55.64753485189977)
trae_basis.886,2023,4.5 m,POINT (12.538761193976217 55.64752201791644)
trae_basis.887,2016,4.5 m,POINT (12.51284507601153 55.666094957108854)
trae_basis.888,2019,2.8 m,POINT (12.572421040742661 55.6791191678528)
trae_basis.889,2021,Ikke registreret,POINT (12.473145860631643 55.68251066248081)
trae_basis.890,2017,Ikke registreret,POINT (12.564943077121185 55.675643767978606)
trae_basis.891,2019,Ikke registreret,POINT (12.564676722710963 55.67561438423396)
trae_basis.892,2017,Ikke registreret,POINT (12.56521406968019 55.67517045483496)
trae_basis.893,1970,2.8 m,POINT (12.498541428252082 55.70290004982251)
trae_basis.894,2019,Ikke registreret,POINT (12.564864469733358 55.67563055486671)
trae_basis.8622,,Ikke registreret,POINT (12.47766408082351 55.659289652142874)
trae_basis.895,2019,Ikke registreret,POINT (12.564911509207441 55.675596022745715)
trae_basis.896,2017,Ikke registreret,POINT (12.565333838317464 55.67526971725987)
trae_basis.897,2017,Ikke registreret,POINT (12.565278575209714 55.675319646004155)
trae_basis.898,2017,Ikke registreret,POINT (12.565342187874679 55.675213722454856)
trae_basis.899,2019,4.5 m,POINT (12.557440871585944 55.663201289414076)
trae_basis.900,1930,4.5 m,POINT (12.603435107145527 55.65074565855625)
trae_basis.901,1987,4.5 m,POINT (12.603470886824157 55.65088244407167)
trae_basis.902,1930,4.5 m,POINT (12.603361559459266 55.65092898981139)
trae_basis.903,,Ikke registreret,POINT (12.487527288408838 55.65111704380252)
trae_basis.906,2019,4.5 m,POINT (12.55757341368534 55.663234062746675)
trae_basis.907,2019,4.5 m,POINT (12.557736761482973 55.66327166374751)
trae_basis.908,2019,4.5 m,POINT (12.55682822468959 55.6629867606841)
trae_basis.909,2019,4.5 m,POINT (12.556707848952893 55.66293189075865)
trae_basis.910,2006,4.5 m,POINT (12.510550959346128 55.70707176428975)
trae_basis.911,2019,4.5 m,POINT (12.556436654667158 55.66279900216549)
trae_basis.912,2019,4.5 m,POINT (12.556323527582585 55.66273476671756)
trae_basis.913,2019,4.5 m,POINT (12.556229401852526 55.66267913484969)
trae_basis.914,2019,4.5 m,POINT (12.556135069164053 55.66262122019757)
trae_basis.915,2019,4.5 m,POINT (12.555849482675194 55.66241894192129)
trae_basis.916,,Ikke registreret,POINT (12.487794349756275 55.650838089643706)
trae_basis.917,,Ikke registreret,POINT (12.487936593095698 55.65089462821136)
trae_basis.918,,Ikke registreret,POINT (12.488074596838738 55.65066767749421)
trae_basis.919,,Ikke registreret,POINT (12.48817914266583 55.6505274570915)
trae_basis.920,,Ikke registreret,POINT (12.488038006919226 55.65037829756844)
trae_basis.921,,Ikke registreret,POINT (12.488279146879739 55.65038491501799)
trae_basis.922,,Ikke registreret,POINT (12.478156613341488 55.6615954852909)
trae_basis.923,2019,4.5 m,POINT (12.555766333381817 55.6623504033877)
trae_basis.8670,,Ikke registreret,POINT (12.480141427885231 55.66994935736212)
trae_basis.924,2019,4.5 m,POINT (12.555528173066193 55.662135305226386)
trae_basis.925,2019,4.5 m,POINT (12.558086234158456 55.66336440688727)
trae_basis.926,2005,4.5 m,POINT (12.455961296208704 55.70681229367075)
trae_basis.927,2005,4.5 m,POINT (12.457116263405386 55.7072055710437)
trae_basis.928,2005,4.5 m,POINT (12.45725933032498 55.70715381359486)
trae_basis.929,2019,4.5 m,POINT (12.558219906970404 55.66339897864568)
trae_basis.930,2019,4.5 m,POINT (12.559083872113238 55.66362019679337)
trae_basis.931,,Ikke registreret,POINT (12.488338717731168 55.65022636783208)
trae_basis.932,,Ikke registreret,POINT (12.488179185398835 55.65013589632093)
trae_basis.934,2022,4.5 m,POINT (12.48452618611592 55.710501685352476)
trae_basis.935,2022,4.5 m,POINT (12.484377609693404 55.710554943172816)
trae_basis.936,,Ikke registreret,POINT (12.566906893439851 55.70334664165318)
trae_basis.937,2011,Ikke registreret,POINT (12.568167568258167 55.69987461633872)
trae_basis.938,2004,2.8 m,POINT (12.542019581265313 55.67070509853353)
trae_basis.939,2011,Ikke registreret,POINT (12.5679476751735 55.69963764949737)
trae_basis.940,1930,Ikke registreret,POINT (12.568416483696819 55.698301255840505)
trae_basis.941,,Ikke registreret,POINT (12.571200133462792 55.697585393550696)
trae_basis.944,1910,Ikke registreret,POINT (12.57126345916776 55.697514215228516)
